Country,Prev_Year,Prev_Year_Production,Year,Production,YOY,YOY_Perc
Poland,2017,9171733.0,2018,7311960.0,-1859773.0,-20.0
Czechia,2001,1130477.0,2002,900843.0,-229634.0,-20.0
Democratic People's Republic of Korea,2007,1900000.0,2008,1520280.0,-379720.0,-20.0
Algeria,2000,1207690.0,2001,967232.0,-240458.0,-20.0
Finland,2002,780100.0,2003,617400.0,-162700.0,-21.0
Kenya,2008,2900000.0,2009,2299086.0,-600914.0,-21.0
Nigeria,2006,838000.0,2007,662000.0,-176000.0,-21.0
United Republic of Tanzania,2011,1555516.0,2012,1235041.0,-320475.0,-21.0
Bangladesh,2008,6648000.0,2009,5268000.0,-1380000.0,-21.0
Serbia and Montenegro,2002,1030022.0,2003,802995.0,-227027.0,-22.0
Ethiopia,2009,572332.0,2010,447333.0,-124999.0,-22.0
Finland,2005,742700.0,2006,575700.0,-167000.0,-22.0
Lithuania,2012,549900.0,2013,426500.0,-123400.0,-22.0
Hungary,2009,560615.0,2010,439897.0,-120718.0,-22.0
Latvia,2008,673400.0,2009,525400.0,-148000.0,-22.0
Lebanon,2005,511400.0,2006,398000.0,-113400.0,-22.0
New Zealand,2021,550401.87,2022,426942.43,-123459.44,-22.0
Angola,2011,841252.0,2012,654160.0,-187092.0,-22.0
Serbia,2013,766829.0,2014,592046.37,-174782.63,-23.0
Switzerland,2014,503800.0,2015,388800.0,-115000.0,-23.0
Tajikistan,2013,1115696.0,2014,853737.9,-261958.09999999998,-23.0
Ethiopia,2007,525657.0,2008,402508.0,-123149.0,-23.0
Hungary,2002,752244.0,2003,582346.0,-169898.0,-23.0
Kenya,2001,1112849.0,2002,861566.0,-251283.0,-23.0
Pakistan,2005,2024900.0,2006,1568000.0,-456900.0,-23.0
Romania,2014,3519329.0,2015,2699684.0,-819645.0,-23.0
Chile,2020,1288154.0,2021,994507.8,-293646.19999999995,-23.0
Czechia,2000,1475992.0,2001,1130477.0,-345515.0,-23.0
Germany,2017,11720000.0,2018,8920800.0,-2799200.0,-24.0
Pakistan,2013,3802275.0,2014,2901029.0,-901246.0,-24.0
Rwanda,2006,1275585.0,2007,967283.0,-308302.0,-24.0
Zimbabwe,2020,592779.0,2021,447867.0,-144912.0,-24.0
Czechia,2002,900843.0,2003,682511.0,-218332.0,-24.0
Armenia,2017,547420.0,2018,415050.0,-132370.0,-24.0
Iraq,2006,794000.0,2007,598000.0,-196000.0,-25.0
Kenya,2012,2915067.0,2013,2192885.0,-722182.0,-25.0
Republic of Korea,2002,666173.0,2003,498401.0,-167772.0,-25.0
Ireland,2004,552200.0,2005,409200.0,-143000.0,-26.0
Kenya,2013,2192885.0,2014,1626027.0,-566858.0,-26.0
Poland,2004,13998654.0,2005,10369253.0,-3629401.0,-26.0
Portugal,2004,742019.0,2005,548007.0,-194012.0,-26.0
Egypt,2005,3167430.0,2006,2312790.0,-854640.0,-27.0
Estonia,2000,471700.0,2001,343100.0,-128600.0,-27.0
Finland,2011,673300.0,2012,489600.0,-183700.0,-27.0
Bosnia and Herzegovina,2011,412696.0,2012,299935.0,-112761.0,-27.0
United Republic of Tanzania,2015,1480716.0,2016,1081454.04,-399261.95999999996,-27.0
Lithuania,2009,662500.0,2010,476900.0,-185600.0,-28.0
United Kingdom of Great Britain and Northern Ireland,2011,6310000.0,2012,4553000.0,-1757000.0,-28.0
Bulgaria,2002,627273.0,2003,450214.0,-177059.0,-28.0
Czechia,2014,697539.0,2015,504955.0,-192584.0,-28.0
Iraq,2003,872000.0,2004,630000.0,-242000.0,-28.0
Democratic People's Republic of Korea,2016,587642.2,2017,425046.8,-162595.39999999997,-28.0
Lithuania,2003,1445200.0,2004,1021400.0,-423800.0,-29.0
Republic of Korea,2005,894215.0,2006,631086.0,-263129.0,-29.0
Austria,2014,750637.43,2015,536472.82,-214164.6100000001,-29.0
Belgium,2011,4128669.0,2012,2929800.0,-1198869.0,-29.0
Greece,2013,893833.14,2014,615428.83,-278404.31000000006,-31.0
Iraq,2020,674840.0,2021,466127.0,-208713.0,-31.0
Algeria,2006,2180961.0,2007,1506859.0,-674102.0,-31.0
Angola,2016,670456.0,2017,461186.0,-209270.0,-31.0
Belgium,2017,4416665.0,2018,3045440.0,-1371225.0,-31.0
Malawi,2004,2182624.0,2005,1485883.0,-696741.0,-32.0
